"in bold, sample names (""DNA_CODE"") that have been changed. Will need to highlight these and update kev on the DB.",,,,,,,,,
,,,,,,,,,
Sample no.,Plate,Well,DNA_CODE,Locality,LAT_SOUTH,LONG_EAST,confirmed_species,Site,Collector
205,3,E02,SB7,Swartberg Pass,-33.294461,22.05126,P. scabrum,1004,C_Chong
206,3,F02,SB8,Swartberg Pass,-33.294406,22.051244,P. scabrum,1004,C_Chong
207,3,G02,SWP2,Swartberg Pass,-33.294285,22.051289,P. scabrum,1004,C_Chong
208,3,H02,SB6,Swartberg Pass,-33.294521,22.051296,P. scabrum,1004,C_Chong
209,3,A03,SB10,Swartberg Pass,-33.294832,22.051329,P. scabrum,1004,C_Chong
210,3,B03,SB12,Swartberg Pass,-33.29483,22.051337,P. scabrum,1004,C_Chong
211,3,C03,SW13,Swartberg Pass,-33.294838,22.0513,P. scabrum,1004,C_Chong
212,3,D03,SW14,Swartberg Pass,-33.294658,22.05113,P. scabrum,1004,C_Chong
213,3,E03,SB16,Swartberg Pass,-33.293363,22.05128,P. scabrum,1004,C_Chong
214,3,F03,SB9,Swartberg Pass,-33.294387,22.051232,P. scabrum,1004,C_Chong
215,3,G03,1005_A,Ezeljachtspoort,-33.788526,22.530314,P. graveolens,1005,C_Chong
216,3,H03,1005_B,Ezeljachtspoort,-33.788455,22.530373,P. sp. unknown,1005,C_Chong
217,3,A04,1005_C,Ezeljachtspoort,-33.788559,22.530517,P. sp. unknown,1005,C_Chong
218,3,B04,1005_D,Ezeljachtspoort,-33.788673,22.53085,P. sp. unknown,1005,C_Chong
219,3,C04,EZ1,Ezeljachtspoort,-33.788548,22.530557,P. scabrum,1005,C_Chong
220,3,D04,EZ2,Ezeljachtspoort,-33.788557,22.530562,P. scabrum,1005,C_Chong
221,3,E04,EZ3,Ezeljachtspoort,-33.788537,22.530537,P. scabrum,1005,C_Chong
222,3,F04,EZ4,Ezeljachtspoort,-33.788539,22.530534,P. scabrum,1005,C_Chong
223,3,G04,EZ5,Ezeljachtspoort,-33.788528,22.530535,P. scabrum,1005,C_Chong
224,3,H04,EZ11,Ezeljachtspoort,-33.788494,22.530499,P. scabrum,1005,C_Chong
225,3,A05,EZ6,Ezeljachtspoort,-33.788427,22.53036,P. scabrum,1005,C_Chong
226,3,B05,EZ7,Ezeljachtspoort,-33.788437,22.530351,P. scabrum,1005,C_Chong
227,3,C05,EZ8,Ezeljachtspoort,-33.788445,22.530416,P. scabrum,1005,C_Chong
228,3,D05,EZ9,Ezeljachtspoort,-33.788461,22.530411,P. scabrum,1005,C_Chong
229,3,E05,EZ10,Ezeljachtspoort,-33.788467,22.53041,P. scabrum,1005,C_Chong
230,3,F05,EZ17,Ezeljachtspoort,-33.788476,22.530442,P. scabrum,1005,C_Chong
231,3,G05,EZ18,Ezeljachtspoort,-33.788474,22.530427,P. scabrum,1005,C_Chong
232,3,H05,EZ19,Ezeljachtspoort,-33.788471,22.530428,P. scabrum,1005,C_Chong
233,3,A06,EZ20,Ezeljachtspoort,-33.788472,22.5304,P. scabrum,1005,C_Chong
234,3,B06,E1,Ezeljachtspoort,-33.788535,22.530542,P. scabrum,1005,C_Chong
