"plate.name","well","value"
"PeleGHPlate4","A04","UDP_M13_10"
"PeleGHPlate4","A05","ME_MEP2_6"
"PeleGHPlate4","A06","ME_ME17_12"
"PeleGHPlate4","A07","HB_HB17_3"
"PeleGHPlate4","A08","ME_ME6_4"
"PeleGHPlate4","A09","KB_K15_3"
"PeleGHPlate4","A10","ME_ME6_11"
"PeleGHPlate4","A11","UDP_UD20_2"
"PeleGHPlate4","A12","UDP_UD13_21"
"PeleGHPlate4","B01","KB_K7_1"
"PeleGHPlate4","B02","KB_K13_7"
"PeleGHPlate4","B03","UDP_UP39_1"
"PeleGHPlate4","B04","EZE_EZ5_4"
"PeleGHPlate4","B05","UDP_M5_1"
"PeleGHPlate4","B06","HB_HB11_3"
"PeleGHPlate4","B07","VR_VR27_4"
"PeleGHPlate4","B08","EZE_EZ19_1"
"PeleGHPlate4","B09","SB_SB6_1"
"PeleGHPlate4","B10","EZE_EZ11_1"
"PeleGHPlate4","B11","ME_ME2_6"
"PeleGHPlate4","B12","HB_HB11_1"
"PeleGHPlate4","C01","ME_ME6_23"
"PeleGHPlate4","C02","EZE_EZ7_3"
"PeleGHPlate4","C03","UDP_M4_2"
"PeleGHPlate4","C04","UDP_M1U_1"
"PeleGHPlate4","C05","WOR_FG20_6"
"PeleGHPlate4","C06","UDP_UD4_7"
"PeleGHPlate4","C07","NR_NR12_2"
"PeleGHPlate4","C08","UDP_UP39_7"
"PeleGHPlate4","C09","ME_ME17_10"
"PeleGHPlate4","C10","KB_K15_7"
"PeleGHPlate4","C11","ME_ME6_32"
"PeleGHPlate4","C12","ME_ME8_23"
"PeleGHPlate4","D01","SB_SB10_1"
"PeleGHPlate4","D02","FG_FG24_10"
"PeleGHPlate4","D03","SB_SB9_1"
"PeleGHPlate4","D04","VR_VR27_2"
"PeleGHPlate4","D05","HB_HB19_2"
"PeleGHPlate4","D06","ME_ME9_1"
"PeleGHPlate4","D07","UDP_UP45_22"
"PeleGHPlate4","D08","VR_VR13_6"
"PeleGHPlate4","D09","EZE_EZ1_6"
"PeleGHPlate4","D10","UDP_UD13_19"
"PeleGHPlate4","D11","UDP_UP38_22"
"PeleGHPlate4","D12","ME_ME8_26"
"PeleGHPlate4","E01","UDP_UD20_4"
"PeleGHPlate4","E02","UDP_UP39_9"
"PeleGHPlate4","E03","ORW_ORW12_1"
"PeleGHPlate4","E04","SB_SW13_1"
"PeleGHPlate4","E05","EZE_EZ10_2"
"PeleGHPlate4","E06","UDP_UD20_11"
"PeleGHPlate4","E07","ME_ME8_2"
"PeleGHPlate4","E08","UDP_M13_9"
"PeleGHPlate4","E09","KB_K100_3"
"PeleGHPlate4","E10","HB_HB47_3"
"PeleGHPlate4","E11","KB_K13_9"
"PeleGHPlate4","E12","VR_VR27_6"
"PeleGHPlate4","F01","EZE_EZ2_4"
"PeleGHPlate4","F02","HB_HB16_6"
"PeleGHPlate4","F03","UDP_M8_1"
"PeleGHPlate4","F04","ME_ME6_30"
"PeleGHPlate4","F05","UDP_UP45_20"
"PeleGHPlate4","F06","EZE_EZ4_4"
"PeleGHPlate4","F07","MID_MB14_2"
"PeleGHPlate4","F08","SB_SB16_2"
"PeleGHPlate4","F09","WOR_FG20_1"
"PeleGHPlate4","F10","KB_K13_1"
"PeleGHPlate4","F11","EZE_EZ1_4"
"PeleGHPlate4","F12","ME_ME17_27"
"PeleGHPlate4","G01","UDP_M13_6"
"PeleGHPlate4","G02","UDP_M1U_7"
"PeleGHPlate4","G03","ME_ME9_3"
"PeleGHPlate4","G04","WOR_fg2_4"
"PeleGHPlate4","G05","EZE_EZ6_3"
"PeleGHPlate4","G06","UDP_UP38_4"
"PeleGHPlate4","G07","NR_NR6_2"
"PeleGHPlate4","G08","MID_MB11_2"
"PeleGHPlate4","G09","ME_MEP2_8"
"PeleGHPlate4","G10","UDP_UP45_4"
"PeleGHPlate4","G11","VR_VR19_1"
"PeleGHPlate4","G12","VR_VR32_2"
"PeleGHPlate4","H01","PK_P20_1"
"PeleGHPlate4","H02","UDP_UD14_3"
"PeleGHPlate4","H03","KB_K3_2"
"PeleGHPlate4","H04","UDP_M13_2"
"PeleGHPlate4","H05","UDP_UD4_5"
"PeleGHPlate4","H06","WOR_FG20_3"
"PeleGHPlate4","H07","EZE_EZ1_2"
"PeleGHPlate4","H08","UDP_UP38_6"
"PeleGHPlate4","H09","EZE_EZ11_3"
"PeleGHPlate4","H10","ME_ME17_25"
"PeleGHPlate4","H11","UDP_UD14_5"
"PeleGHPlate4","H12","ME_ME6_10"
"PeleGHPlate5","A01","UDP_UD13_17"
"PeleGHPlate5","A02","WOR_FG1_3"
"PeleGHPlate5","A03","ME_MEP2_2"
"PeleGHPlate5","A04","HB_HB11_15"
"PeleGHPlate5","A05","HB_HB41_6"
"PeleGHPlate5","A06","PKHLEI_LG15_2"
"PeleGHPlate5","A07","ME_ME6_28"
